SKU;Descrição;Validade;Estoque
12246308;NESTLE Aveia Flocos 28x170g BR;01/03/2027;0
12246309;NESTLE Aveia Flocos Finos 28x170g BR;01/02/2027;176
12248107;NUTREN SENIOR Po 6x740g BR;01/05/2027;0
12250611;NESQUIK Morango 24x380g BR;01/02/2027;54
12255799;NESTLE Cob Chocolate Marfim NPro12x1kgBR;18/11/2026;2
12255810;NESTLE Cob Chocolate Blend NPro 12x1kgBR;13/08/2026;0
12255811;NESTLE Cob Chocolate Leite Npro 12x1kgBR;04/11/2026;0
12255812;NESTLE Cob Chocolate Mamgo NPro 12x1kgBR;25/03/2027;12
12257968;NESCAFE ALEGRIA Cafe NPro 6x500g BR;01/01/2027;0
12267768;NESTLE Creme de Lei Lata NPro 48x300g BR;01/06/2027;0
12272482;SUFLAIR Chocolate Leite 12(20x50g) BR;15/01/2027;0
12273955;BATON Bastao Recheado Leite 32(30x16g)XW;12/03/2027;0
12274634;Chocofans Achoc Vending NPro 6x1,3kg BR;01/04/2026;0
12277350;TALENTO Tablete Meio Amargo 18(15x25g)BR;31/01/2027;21
12278536;PASSATEMPO Cookie Gotas Choc 52x60g BR;09/02/2027;0
12290967;NESCAFE BebidaGarrafa Plas 4(6x270ml) BR;30/11/2026;0
12301285;NINHO 3+ PBIO3 Fases Lepo 24x400g N3 BR;01/12/2026;0
12302038;NESTLE DoisFrades AchocPoNPro 6x1,3kg BR;01/11/2026;0
12303027;MUCILON Ameixa e Aveia 12x180g BR;01/12/2026;0
12305178;KANINA Filhotes 15kg N3 BR;01/10/2027;512
12307594;MOCA FLAKES Cereal Mat Sachet 20x120g BR;30/03/2027;100
12307595;NESCAU Cereal Matinal Sachet 20x120g BR;25/02/2027;400
12307596;SNOW FLAKES Cer Mat Sachet 20x120g BR;07/03/2027;200
12313896;BATON Bastao Rech Morango 32(30x16g) BR;02/02/2027;0
12316706;PRESTIGIO Dark Chocolate 18(30x33g) BR;11/01/2027;0
12318446;CHARGE Recheio NPro 6x2,4kg BR;10/07/2026;0
12320781;MAGGI Caldo de Galinha NPro 6x1,01kg BR;01/01/2027;0
12320782;MAGGI Caldo de Carne NPro 6x1,01kg BR;01/02/2027;0
12321616;NESTLE Cacau em Po Soluvel 25x200g BR;01/05/2027;9
12325104;PASSATEMPO Bisc Recheado Mrg 70x130g BR;03/01/2027;210
12325231;PASSATEMPO Bisc Recheado Choc 70x130g BR;13/01/2027;315
12325232;PASSATEMPO Bisc Recheado Leite 70x130gBR;20/01/2027;0
12329921;MAGGI Caldo Galinha Tira 35(24x19g) BR;01/03/2027;45
12329922;MAGGI Caldo Carne Tira 35(24x19g) BR;01/01/2027;0
12338492;NESCAFE Cafe em Graos NPro 6x1Kg BR;01/02/2027;10
